algo,n,ms
giftwrapping,1000,331
giftwrapping,1000,294
giftwrapping,1000,171
giftwrapping,1000,258
giftwrapping,1000,151
giftwrapping,1000,320
giftwrapping,1000,499
giftwrapping,1000,136
giftwrapping,1000,278
giftwrapping,1000,138
giftwrapping,1000,263
giftwrapping,1000,189
giftwrapping,1000,195
giftwrapping,1000,212
giftwrapping,1000,250
giftwrapping,1000,173
giftwrapping,1000,209
giftwrapping,1000,228
giftwrapping,1000,212
giftwrapping,1000,357
giftwrapping,1000,502
giftwrapping,1000,255
giftwrapping,1000,188
giftwrapping,1000,153
giftwrapping,1000,279
giftwrapping,1000,214
giftwrapping,1000,324
giftwrapping,1000,185
giftwrapping,1000,240
giftwrapping,1000,185
giftwrapping,1000,227
giftwrapping,1000,212
giftwrapping,1000,192
giftwrapping,1000,149
giftwrapping,1000,185
giftwrapping,1000,269
giftwrapping,1000,331
giftwrapping,1000,245
giftwrapping,1000,240
giftwrapping,1000,349
giftwrapping,1000,191
giftwrapping,1000,186
giftwrapping,1000,436
giftwrapping,1000,361
giftwrapping,1000,207
giftwrapping,1000,191
giftwrapping,1000,253
giftwrapping,1000,191
giftwrapping,1000,193
giftwrapping,1000,238
giftwrapping,1000,237
giftwrapping,1000,189
giftwrapping,1000,186
giftwrapping,1000,266
giftwrapping,1000,207
giftwrapping,1000,211
giftwrapping,1000,261
giftwrapping,1000,194
giftwrapping,1000,274
giftwrapping,1000,149
giftwrapping,1000,201
giftwrapping,1000,196
giftwrapping,1000,207
giftwrapping,1000,376
giftwrapping,1000,190
giftwrapping,1000,337
giftwrapping,1000,187
giftwrapping,1000,169
giftwrapping,1000,260
giftwrapping,1000,151
giftwrapping,1000,227
giftwrapping,1000,278
giftwrapping,1000,186
giftwrapping,1000,188
giftwrapping,1000,190
giftwrapping,1000,152
giftwrapping,1000,152
giftwrapping,1000,204
giftwrapping,1000,189
giftwrapping,1000,186
giftwrapping,1000,210
giftwrapping,1000,189
giftwrapping,1000,341
giftwrapping,1000,192
giftwrapping,1000,226
giftwrapping,1000,277
giftwrapping,1000,168
giftwrapping,1000,186
giftwrapping,1000,264
giftwrapping,1000,210
giftwrapping,1000,399
giftwrapping,1000,199
giftwrapping,1000,195
giftwrapping,1000,210
giftwrapping,1000,207
giftwrapping,1000,271
giftwrapping,1000,191
giftwrapping,1000,385
giftwrapping,1000,187
giftwrapping,1000,205
