algo,n,ms
giftwrapping,500000,110891
giftwrapping,500000,90260
giftwrapping,500000,96317
giftwrapping,500000,97184
giftwrapping,500000,89537
giftwrapping,500000,105604
giftwrapping,500000,91969
giftwrapping,500000,93080
giftwrapping,500000,91293
giftwrapping,500000,78635
giftwrapping,500000,83462
giftwrapping,500000,81842
giftwrapping,500000,80514
giftwrapping,500000,91301
giftwrapping,500000,87043
giftwrapping,500000,83988
giftwrapping,500000,92346
giftwrapping,500000,88838
giftwrapping,500000,122511
giftwrapping,500000,109422
giftwrapping,500000,108852
giftwrapping,500000,109562
giftwrapping,500000,119709
giftwrapping,500000,126899
giftwrapping,500000,109411
giftwrapping,500000,123724
giftwrapping,500000,115727
giftwrapping,500000,113773
giftwrapping,500000,146094
giftwrapping,500000,134163
giftwrapping,500000,130692
giftwrapping,500000,93744
giftwrapping,500000,87245
giftwrapping,500000,92110
giftwrapping,500000,85916
giftwrapping,500000,93401
giftwrapping,500000,86885
giftwrapping,500000,94692
giftwrapping,500000,96912
giftwrapping,500000,86137
giftwrapping,500000,125097
giftwrapping,500000,108258
giftwrapping,500000,135973
giftwrapping,500000,109492
giftwrapping,500000,108201
giftwrapping,500000,116068
giftwrapping,500000,113754
giftwrapping,500000,115527
giftwrapping,500000,115434
giftwrapping,500000,122543
giftwrapping,500000,101322
giftwrapping,500000,105841
giftwrapping,500000,101991
giftwrapping,500000,125420
giftwrapping,500000,93507
giftwrapping,500000,99180
giftwrapping,500000,93130
giftwrapping,500000,97530
giftwrapping,500000,99304
giftwrapping,500000,94847
giftwrapping,500000,105891
giftwrapping,500000,98899
giftwrapping,500000,102656
giftwrapping,500000,99556
giftwrapping,500000,98958
giftwrapping,500000,109151
giftwrapping,500000,100915
giftwrapping,500000,99163
giftwrapping,500000,108248
giftwrapping,500000,129360
giftwrapping,500000,132150
giftwrapping,500000,121800
giftwrapping,500000,137226
giftwrapping,500000,126331
giftwrapping,500000,120629
giftwrapping,500000,131364
giftwrapping,500000,120638
giftwrapping,500000,115532
giftwrapping,500000,113662
giftwrapping,500000,113000
giftwrapping,500000,109616
giftwrapping,500000,117510
giftwrapping,500000,112532
giftwrapping,500000,139993
giftwrapping,500000,125394
giftwrapping,500000,144272
giftwrapping,500000,136506
giftwrapping,500000,132248
giftwrapping,500000,128728
giftwrapping,500000,114954
giftwrapping,500000,108088
giftwrapping,500000,114589
giftwrapping,500000,114638
giftwrapping,500000,115232
giftwrapping,500000,105638
giftwrapping,500000,117721
giftwrapping,500000,104804
giftwrapping,500000,94427
giftwrapping,500000,107960
giftwrapping,500000,99892
