algo,n,ms
quickhull,1000,3659
quickhull,1000,3674
quickhull,1000,3674
quickhull,1000,3728
quickhull,1000,3670
quickhull,1000,3778
quickhull,1000,3681
quickhull,1000,3659
quickhull,1000,3689
quickhull,1000,3660
quickhull,1000,3653
quickhull,1000,3667
quickhull,1000,3872
quickhull,1000,4134
quickhull,1000,3662
quickhull,1000,3677
quickhull,1000,3670
quickhull,1000,3658
quickhull,1000,3640
quickhull,1000,3632
quickhull,1000,3632
quickhull,1000,3644
quickhull,1000,3700
quickhull,1000,3655
quickhull,1000,3646
quickhull,1000,4315
quickhull,1000,3674
quickhull,1000,3632
quickhull,1000,3828
quickhull,1000,3651
quickhull,1000,3659
quickhull,1000,3666
quickhull,1000,3674
quickhull,1000,3730
quickhull,1000,3667
quickhull,1000,3617
quickhull,1000,3636
quickhull,1000,3852
quickhull,1000,3799
quickhull,1000,3976
quickhull,1000,3662
quickhull,1000,3667
quickhull,1000,3688
quickhull,1000,3692
quickhull,1000,3699
quickhull,1000,3667
quickhull,1000,3646
quickhull,1000,3886
quickhull,1000,3959
quickhull,1000,3639
quickhull,1000,3686
quickhull,1000,3665
quickhull,1000,3673
quickhull,1000,3696
quickhull,1000,3869
quickhull,1000,3986
quickhull,1000,3644
quickhull,1000,3631
quickhull,1000,3729
quickhull,1000,3635
quickhull,1000,3648
quickhull,1000,3672
quickhull,1000,3627
quickhull,1000,3623
quickhull,1000,3767
quickhull,1000,3628
quickhull,1000,3622
quickhull,1000,3630
quickhull,1000,3643
quickhull,1000,3735
quickhull,1000,3647
quickhull,1000,3647
quickhull,1000,3659
quickhull,1000,3720
quickhull,1000,3646
quickhull,1000,3857
quickhull,1000,3631
quickhull,1000,3663
quickhull,1000,3679
quickhull,1000,3698
quickhull,1000,3807
quickhull,1000,3655
quickhull,1000,3850
quickhull,1000,3649
quickhull,1000,3640
quickhull,1000,3631
quickhull,1000,3861
quickhull,1000,3641
quickhull,1000,3675
quickhull,1000,3672
quickhull,1000,3658
quickhull,1000,3669
quickhull,1000,3668
quickhull,1000,3620
quickhull,1000,3675
quickhull,1000,3636
quickhull,1000,3637
quickhull,1000,3644
quickhull,1000,3630
quickhull,1000,3742
