algo,n,ms
giftwrapping,10000,855845
giftwrapping,10000,825829
giftwrapping,10000,832036
giftwrapping,10000,855753
giftwrapping,10000,867820
giftwrapping,10000,852505
giftwrapping,10000,829316
giftwrapping,10000,840348
giftwrapping,10000,846252
giftwrapping,10000,855015
giftwrapping,10000,846200
giftwrapping,10000,867706
giftwrapping,10000,861734
giftwrapping,10000,844132
giftwrapping,10000,856585
giftwrapping,10000,852998
giftwrapping,10000,857749
giftwrapping,10000,855207
giftwrapping,10000,861480
giftwrapping,10000,845869
giftwrapping,10000,841820
giftwrapping,10000,847563
giftwrapping,10000,852231
giftwrapping,10000,881379
giftwrapping,10000,859493
giftwrapping,10000,847162
giftwrapping,10000,863164
giftwrapping,10000,851888
giftwrapping,10000,865416
giftwrapping,10000,872303
giftwrapping,10000,841701
giftwrapping,10000,847899
giftwrapping,10000,841877
giftwrapping,10000,858480
giftwrapping,10000,871372
giftwrapping,10000,859642
giftwrapping,10000,853906
giftwrapping,10000,870010
giftwrapping,10000,852582
giftwrapping,10000,853823
giftwrapping,10000,863127
giftwrapping,10000,858324
giftwrapping,10000,851070
giftwrapping,10000,862779
giftwrapping,10000,846115
giftwrapping,10000,862631
giftwrapping,10000,855584
giftwrapping,10000,849673
giftwrapping,10000,854662
giftwrapping,10000,837938
giftwrapping,10000,854165
giftwrapping,10000,855828
giftwrapping,10000,831827
giftwrapping,10000,840626
giftwrapping,10000,845307
giftwrapping,10000,848359
giftwrapping,10000,850233
giftwrapping,10000,855961
giftwrapping,10000,860671
giftwrapping,10000,851188
giftwrapping,10000,849066
giftwrapping,10000,873954
giftwrapping,10000,865486
giftwrapping,10000,873104
giftwrapping,10000,850362
giftwrapping,10000,843468
giftwrapping,10000,850481
giftwrapping,10000,869675
giftwrapping,10000,854755
giftwrapping,10000,869654
giftwrapping,10000,842074
giftwrapping,10000,859134
giftwrapping,10000,855028
giftwrapping,10000,843761
giftwrapping,10000,863450
giftwrapping,10000,831688
giftwrapping,10000,864592
giftwrapping,10000,847771
giftwrapping,10000,856030
giftwrapping,10000,869996
giftwrapping,10000,852433
giftwrapping,10000,853980
giftwrapping,10000,861643
giftwrapping,10000,886290
giftwrapping,10000,940131
giftwrapping,10000,948914
giftwrapping,10000,904368
giftwrapping,10000,866948
giftwrapping,10000,859557
giftwrapping,10000,875434
giftwrapping,10000,861131
giftwrapping,10000,857710
giftwrapping,10000,850561
giftwrapping,10000,887923
giftwrapping,10000,881349
giftwrapping,10000,844001
giftwrapping,10000,855983
giftwrapping,10000,876531
giftwrapping,10000,862760
giftwrapping,10000,872373
