algo,n,ms
quickhull,250000,3065
quickhull,250000,2941
quickhull,250000,2964
quickhull,250000,3090
quickhull,250000,2790
quickhull,250000,3004
quickhull,250000,2912
quickhull,250000,2807
quickhull,250000,2915
quickhull,250000,3042
quickhull,250000,2892
quickhull,250000,2852
quickhull,250000,2964
quickhull,250000,2942
quickhull,250000,2998
quickhull,250000,2887
quickhull,250000,2973
quickhull,250000,3032
quickhull,250000,2955
quickhull,250000,2816
quickhull,250000,2952
quickhull,250000,2906
quickhull,250000,2986
quickhull,250000,2792
quickhull,250000,3058
quickhull,250000,2767
quickhull,250000,3003
quickhull,250000,2823
quickhull,250000,2993
quickhull,250000,2920
quickhull,250000,2853
quickhull,250000,2895
quickhull,250000,3031
quickhull,250000,2997
quickhull,250000,2847
quickhull,250000,2818
quickhull,250000,2967
quickhull,250000,2927
quickhull,250000,3028
quickhull,250000,2761
quickhull,250000,3018
quickhull,250000,3045
quickhull,250000,2954
quickhull,250000,3041
quickhull,250000,2944
quickhull,250000,2885
quickhull,250000,2971
quickhull,250000,2885
quickhull,250000,2928
quickhull,250000,2721
quickhull,250000,5143
quickhull,250000,2779
quickhull,250000,2952
quickhull,250000,2757
quickhull,250000,2890
quickhull,250000,2819
quickhull,250000,2907
quickhull,250000,2829
quickhull,250000,2822
quickhull,250000,2790
quickhull,250000,2823
quickhull,250000,2751
quickhull,250000,2900
quickhull,250000,2881
quickhull,250000,3016
quickhull,250000,2781
quickhull,250000,3041
quickhull,250000,3029
quickhull,250000,3147
quickhull,250000,2963
quickhull,250000,3072
quickhull,250000,2990
quickhull,250000,2906
quickhull,250000,2985
quickhull,250000,2882
quickhull,250000,3098
quickhull,250000,2875
quickhull,250000,2741
quickhull,250000,2788
quickhull,250000,2990
quickhull,250000,2787
quickhull,250000,2968
quickhull,250000,2942
quickhull,250000,2863
quickhull,250000,2869
quickhull,250000,3064
quickhull,250000,2960
quickhull,250000,3001
quickhull,250000,2961
quickhull,250000,2907
quickhull,250000,2881
quickhull,250000,2835
quickhull,250000,2766
quickhull,250000,3105
quickhull,250000,2953
quickhull,250000,3230
quickhull,250000,2829
quickhull,250000,2837
quickhull,250000,3024
quickhull,250000,2807
