algo,n,ms
quickhull,1000,12
quickhull,1000,12
quickhull,1000,13
quickhull,1000,13
quickhull,1000,12
quickhull,1000,16
quickhull,1000,13
quickhull,1000,16
quickhull,1000,13
quickhull,1000,13
quickhull,1000,13
quickhull,1000,13
quickhull,1000,16
quickhull,1000,16
quickhull,1000,12
quickhull,1000,12
quickhull,1000,13
quickhull,1000,16
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,13
quickhull,1000,15
quickhull,1000,15
quickhull,1000,19
quickhull,1000,12
quickhull,1000,12
quickhull,1000,13
quickhull,1000,12
quickhull,1000,16
quickhull,1000,17
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,13
quickhull,1000,12
quickhull,1000,20
quickhull,1000,16
quickhull,1000,13
quickhull,1000,12
quickhull,1000,12
quickhull,1000,21
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,12
quickhull,1000,13
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,15
quickhull,1000,13
quickhull,1000,13
quickhull,1000,13
quickhull,1000,13
quickhull,1000,12
quickhull,1000,13
quickhull,1000,12
quickhull,1000,13
quickhull,1000,12
quickhull,1000,15
quickhull,1000,16
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,16
quickhull,1000,13
quickhull,1000,12
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,16
quickhull,1000,15
quickhull,1000,15
quickhull,1000,12
quickhull,1000,13
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,13
quickhull,1000,15
quickhull,1000,12
quickhull,1000,12
quickhull,1000,15
quickhull,1000,12
quickhull,1000,15
quickhull,1000,13
quickhull,1000,13
quickhull,1000,20
quickhull,1000,15
