algo,n,ms
giftwrapping,1000,83
giftwrapping,1000,217
giftwrapping,1000,82
giftwrapping,1000,99
giftwrapping,1000,83
giftwrapping,1000,178
giftwrapping,1000,174
giftwrapping,1000,81
giftwrapping,1000,83
giftwrapping,1000,82
giftwrapping,1000,82
giftwrapping,1000,101
giftwrapping,1000,221
giftwrapping,1000,83
giftwrapping,1000,179
giftwrapping,1000,83
giftwrapping,1000,178
giftwrapping,1000,91
giftwrapping,1000,82
giftwrapping,1000,83
giftwrapping,1000,102
giftwrapping,1000,90
giftwrapping,1000,177
giftwrapping,1000,187
giftwrapping,1000,81
giftwrapping,1000,102
giftwrapping,1000,100
giftwrapping,1000,173
giftwrapping,1000,81
giftwrapping,1000,81
giftwrapping,1000,212
giftwrapping,1000,101
giftwrapping,1000,81
giftwrapping,1000,80
giftwrapping,1000,172
giftwrapping,1000,212
giftwrapping,1000,174
giftwrapping,1000,80
giftwrapping,1000,86
giftwrapping,1000,81
giftwrapping,1000,222
giftwrapping,1000,83
giftwrapping,1000,175
giftwrapping,1000,82
giftwrapping,1000,81
giftwrapping,1000,175
giftwrapping,1000,82
giftwrapping,1000,81
giftwrapping,1000,81
giftwrapping,1000,80
giftwrapping,1000,173
giftwrapping,1000,81
giftwrapping,1000,81
giftwrapping,1000,82
giftwrapping,1000,178
giftwrapping,1000,177
giftwrapping,1000,102
giftwrapping,1000,82
giftwrapping,1000,81
giftwrapping,1000,223
giftwrapping,1000,82
giftwrapping,1000,218
giftwrapping,1000,174
giftwrapping,1000,172
giftwrapping,1000,146
giftwrapping,1000,81
giftwrapping,1000,94
giftwrapping,1000,101
giftwrapping,1000,102
giftwrapping,1000,81
giftwrapping,1000,99
giftwrapping,1000,81
giftwrapping,1000,82
giftwrapping,1000,104
giftwrapping,1000,176
giftwrapping,1000,81
giftwrapping,1000,80
giftwrapping,1000,176
giftwrapping,1000,174
giftwrapping,1000,176
giftwrapping,1000,82
giftwrapping,1000,174
giftwrapping,1000,175
giftwrapping,1000,175
giftwrapping,1000,81
giftwrapping,1000,82
giftwrapping,1000,82
giftwrapping,1000,173
giftwrapping,1000,82
giftwrapping,1000,214
giftwrapping,1000,81
giftwrapping,1000,80
giftwrapping,1000,82
giftwrapping,1000,81
giftwrapping,1000,172
giftwrapping,1000,173
giftwrapping,1000,82
giftwrapping,1000,80
giftwrapping,1000,178
giftwrapping,1000,172
