algo,n,ms
giftwrapping,100000,15322
giftwrapping,100000,9779
giftwrapping,100000,8058
giftwrapping,100000,8249
giftwrapping,100000,10090
giftwrapping,100000,8376
giftwrapping,100000,9445
giftwrapping,100000,16473
giftwrapping,100000,11293
giftwrapping,100000,7646
giftwrapping,100000,13778
giftwrapping,100000,8334
giftwrapping,100000,8161
giftwrapping,100000,15532
giftwrapping,100000,8071
giftwrapping,100000,13869
giftwrapping,100000,7840
giftwrapping,100000,8254
giftwrapping,100000,11300
giftwrapping,100000,8080
giftwrapping,100000,15509
giftwrapping,100000,8230
giftwrapping,100000,8161
giftwrapping,100000,8020
giftwrapping,100000,15433
giftwrapping,100000,10183
giftwrapping,100000,8413
giftwrapping,100000,7888
giftwrapping,100000,7867
giftwrapping,100000,7721
giftwrapping,100000,8188
giftwrapping,100000,9551
giftwrapping,100000,7971
giftwrapping,100000,11563
giftwrapping,100000,13073
giftwrapping,100000,8844
giftwrapping,100000,15192
giftwrapping,100000,9886
giftwrapping,100000,8091
giftwrapping,100000,8091
giftwrapping,100000,14041
giftwrapping,100000,14624
giftwrapping,100000,13884
giftwrapping,100000,9693
giftwrapping,100000,8119
giftwrapping,100000,8174
giftwrapping,100000,13649
giftwrapping,100000,9691
giftwrapping,100000,7852
giftwrapping,100000,14857
giftwrapping,100000,7960
giftwrapping,100000,9174
giftwrapping,100000,8075
giftwrapping,100000,8014
giftwrapping,100000,8415
giftwrapping,100000,8177
giftwrapping,100000,7664
giftwrapping,100000,9417
giftwrapping,100000,16579
giftwrapping,100000,7944
giftwrapping,100000,8088
giftwrapping,100000,8531
giftwrapping,100000,8319
giftwrapping,100000,8324
giftwrapping,100000,12884
giftwrapping,100000,7510
giftwrapping,100000,7992
giftwrapping,100000,7875
giftwrapping,100000,14930
giftwrapping,100000,9664
giftwrapping,100000,16422
giftwrapping,100000,8160
giftwrapping,100000,9948
giftwrapping,100000,12651
giftwrapping,100000,12341
giftwrapping,100000,9026
giftwrapping,100000,16025
giftwrapping,100000,10722
giftwrapping,100000,16869
giftwrapping,100000,11116
giftwrapping,100000,8278
giftwrapping,100000,7753
giftwrapping,100000,7942
giftwrapping,100000,9168
giftwrapping,100000,7769
giftwrapping,100000,8438
giftwrapping,100000,15865
giftwrapping,100000,8365
giftwrapping,100000,8200
giftwrapping,100000,16736
giftwrapping,100000,11010
giftwrapping,100000,8601
giftwrapping,100000,16655
giftwrapping,100000,7846
giftwrapping,100000,8453
giftwrapping,100000,15911
giftwrapping,100000,10978
giftwrapping,100000,16372
giftwrapping,100000,7952
giftwrapping,100000,8085
