algo,n,ms
giftwrapping,250000,26511
giftwrapping,250000,30397
giftwrapping,250000,25440
giftwrapping,250000,25870
giftwrapping,250000,20902
giftwrapping,250000,19070
giftwrapping,250000,19015
giftwrapping,250000,28477
giftwrapping,250000,20808
giftwrapping,250000,26474
giftwrapping,250000,24686
giftwrapping,250000,27036
giftwrapping,250000,28393
giftwrapping,250000,25143
giftwrapping,250000,26056
giftwrapping,250000,21648
giftwrapping,250000,21727
giftwrapping,250000,19826
giftwrapping,250000,20061
giftwrapping,250000,24540
giftwrapping,250000,19767
giftwrapping,250000,26101
giftwrapping,250000,20668
giftwrapping,250000,23516
giftwrapping,250000,21247
giftwrapping,250000,25864
giftwrapping,250000,22821
giftwrapping,250000,19929
giftwrapping,250000,24436
giftwrapping,250000,23234
giftwrapping,250000,26936
giftwrapping,250000,31071
giftwrapping,250000,20468
giftwrapping,250000,25724
giftwrapping,250000,21973
giftwrapping,250000,20351
giftwrapping,250000,35512
giftwrapping,250000,28923
giftwrapping,250000,20546
giftwrapping,250000,20128
giftwrapping,250000,20028
giftwrapping,250000,22953
giftwrapping,250000,22878
giftwrapping,250000,26840
giftwrapping,250000,27399
giftwrapping,250000,30053
giftwrapping,250000,19756
giftwrapping,250000,20856
giftwrapping,250000,19633
giftwrapping,250000,22916
giftwrapping,250000,20212
giftwrapping,250000,20451
giftwrapping,250000,28566
giftwrapping,250000,24418
giftwrapping,250000,19871
giftwrapping,250000,19605
giftwrapping,250000,27917
giftwrapping,250000,21312
giftwrapping,250000,22675
giftwrapping,250000,22314
giftwrapping,250000,19650
giftwrapping,250000,20036
giftwrapping,250000,20176
giftwrapping,250000,20047
giftwrapping,250000,20112
giftwrapping,250000,25551
giftwrapping,250000,26932
giftwrapping,250000,19307
giftwrapping,250000,22631
giftwrapping,250000,25697
giftwrapping,250000,25362
giftwrapping,250000,19758
giftwrapping,250000,21280
giftwrapping,250000,25355
giftwrapping,250000,23624
giftwrapping,250000,20630
giftwrapping,250000,21888
giftwrapping,250000,28072
giftwrapping,250000,26722
giftwrapping,250000,22085
giftwrapping,250000,23849
giftwrapping,250000,25984
giftwrapping,250000,19804
giftwrapping,250000,20364
giftwrapping,250000,28052
giftwrapping,250000,24345
giftwrapping,250000,26268
giftwrapping,250000,19809
giftwrapping,250000,20365
giftwrapping,250000,19951
giftwrapping,250000,22913
giftwrapping,250000,19879
giftwrapping,250000,22997
giftwrapping,250000,19647
giftwrapping,250000,24706
giftwrapping,250000,26396
giftwrapping,250000,19252
giftwrapping,250000,19774
giftwrapping,250000,26475
giftwrapping,250000,22152
