algo,n,ms
giftwrapping,1000000,78137
giftwrapping,1000000,82159
giftwrapping,1000000,77503
giftwrapping,1000000,83374
giftwrapping,1000000,86015
giftwrapping,1000000,87665
giftwrapping,1000000,85584
giftwrapping,1000000,84659
giftwrapping,1000000,77058
giftwrapping,1000000,86508
giftwrapping,1000000,84299
giftwrapping,1000000,84687
giftwrapping,1000000,83007
giftwrapping,1000000,86614
giftwrapping,1000000,77692
giftwrapping,1000000,88008
giftwrapping,1000000,81067
giftwrapping,1000000,83817
giftwrapping,1000000,85252
giftwrapping,1000000,78175
giftwrapping,1000000,79942
giftwrapping,1000000,85081
giftwrapping,1000000,85019
giftwrapping,1000000,80538
giftwrapping,1000000,85686
giftwrapping,1000000,78825
giftwrapping,1000000,84554
giftwrapping,1000000,83376
giftwrapping,1000000,86400
giftwrapping,1000000,79564
giftwrapping,1000000,76981
giftwrapping,1000000,86879
giftwrapping,1000000,89130
giftwrapping,1000000,81586
giftwrapping,1000000,84895
giftwrapping,1000000,85192
giftwrapping,1000000,84620
giftwrapping,1000000,88755
giftwrapping,1000000,83747
giftwrapping,1000000,84084
giftwrapping,1000000,78974
giftwrapping,1000000,88441
giftwrapping,1000000,82720
giftwrapping,1000000,96676
giftwrapping,1000000,77535
giftwrapping,1000000,83316
giftwrapping,1000000,77313
giftwrapping,1000000,76449
giftwrapping,1000000,87442
giftwrapping,1000000,76957
giftwrapping,1000000,89653
giftwrapping,1000000,86984
giftwrapping,1000000,77486
giftwrapping,1000000,77528
giftwrapping,1000000,87537
giftwrapping,1000000,81449
giftwrapping,1000000,77021
giftwrapping,1000000,82351
giftwrapping,1000000,79057
giftwrapping,1000000,85093
giftwrapping,1000000,77982
giftwrapping,1000000,78977
giftwrapping,1000000,86105
giftwrapping,1000000,78950
giftwrapping,1000000,76048
giftwrapping,1000000,78695
giftwrapping,1000000,86045
giftwrapping,1000000,84729
giftwrapping,1000000,83196
giftwrapping,1000000,84926
giftwrapping,1000000,81252
giftwrapping,1000000,76985
giftwrapping,1000000,81281
giftwrapping,1000000,81473
giftwrapping,1000000,84778
giftwrapping,1000000,84247
giftwrapping,1000000,79991
giftwrapping,1000000,83008
giftwrapping,1000000,86131
giftwrapping,1000000,79751
giftwrapping,1000000,77110
giftwrapping,1000000,86113
giftwrapping,1000000,83467
giftwrapping,1000000,84162
giftwrapping,1000000,85789
giftwrapping,1000000,78292
giftwrapping,1000000,93010
giftwrapping,1000000,81963
giftwrapping,1000000,85773
giftwrapping,1000000,78338
giftwrapping,1000000,79857
giftwrapping,1000000,81221
giftwrapping,1000000,85767
giftwrapping,1000000,80902
giftwrapping,1000000,80133
giftwrapping,1000000,82614
giftwrapping,1000000,89168
giftwrapping,1000000,86566
giftwrapping,1000000,79185
giftwrapping,1000000,82181
