algo,n,ms
quickhull,100000,1127
quickhull,100000,1287
quickhull,100000,1232
quickhull,100000,1253
quickhull,100000,1135
quickhull,100000,1288
quickhull,100000,1283
quickhull,100000,1122
quickhull,100000,1298
quickhull,100000,1327
quickhull,100000,1113
quickhull,100000,1122
quickhull,100000,1246
quickhull,100000,1326
quickhull,100000,1313
quickhull,100000,1295
quickhull,100000,1286
quickhull,100000,1118
quickhull,100000,1139
quickhull,100000,1118
quickhull,100000,1129
quickhull,100000,1323
quickhull,100000,1158
quickhull,100000,1139
quickhull,100000,1331
quickhull,100000,1201
quickhull,100000,1161
quickhull,100000,1319
quickhull,100000,1124
quickhull,100000,1118
quickhull,100000,1124
quickhull,100000,1369
quickhull,100000,1350
quickhull,100000,1119
quickhull,100000,1341
quickhull,100000,1130
quickhull,100000,1229
quickhull,100000,1124
quickhull,100000,1505
quickhull,100000,1122
quickhull,100000,1124
quickhull,100000,1193
quickhull,100000,1127
quickhull,100000,1134
quickhull,100000,1127
quickhull,100000,1659
quickhull,100000,1228
quickhull,100000,1274
quickhull,100000,1132
quickhull,100000,1383
quickhull,100000,1126
quickhull,100000,1112
quickhull,100000,1128
quickhull,100000,1151
quickhull,100000,1210
quickhull,100000,1243
quickhull,100000,1214
quickhull,100000,1341
quickhull,100000,1305
quickhull,100000,1378
quickhull,100000,1326
quickhull,100000,1118
quickhull,100000,1142
quickhull,100000,1328
quickhull,100000,1299
quickhull,100000,1285
quickhull,100000,1253
quickhull,100000,1185
quickhull,100000,1234
quickhull,100000,1147
quickhull,100000,1375
quickhull,100000,1142
quickhull,100000,1130
quickhull,100000,1127
quickhull,100000,1131
quickhull,100000,1136
quickhull,100000,1289
quickhull,100000,1132
quickhull,100000,1331
quickhull,100000,1118
quickhull,100000,1244
quickhull,100000,1134
quickhull,100000,1131
quickhull,100000,1125
quickhull,100000,1146
quickhull,100000,1385
quickhull,100000,1189
quickhull,100000,1279
quickhull,100000,1207
quickhull,100000,1386
quickhull,100000,1238
quickhull,100000,1322
quickhull,100000,1344
quickhull,100000,1406
quickhull,100000,1317
quickhull,100000,1129
quickhull,100000,1131
quickhull,100000,1420
quickhull,100000,1368
quickhull,100000,1273
