algo,n,ms
quickhull,1000000,11464
quickhull,1000000,11088
quickhull,1000000,11332
quickhull,1000000,11070
quickhull,1000000,11003
quickhull,1000000,11146
quickhull,1000000,11084
quickhull,1000000,11069
quickhull,1000000,11348
quickhull,1000000,11091
quickhull,1000000,11247
quickhull,1000000,11252
quickhull,1000000,11275
quickhull,1000000,11275
quickhull,1000000,11248
quickhull,1000000,11088
quickhull,1000000,11172
quickhull,1000000,11210
quickhull,1000000,11376
quickhull,1000000,11020
quickhull,1000000,11067
quickhull,1000000,11233
quickhull,1000000,11013
quickhull,1000000,11206
quickhull,1000000,11325
quickhull,1000000,11541
quickhull,1000000,11470
quickhull,1000000,11346
quickhull,1000000,11076
quickhull,1000000,11629
quickhull,1000000,11103
quickhull,1000000,11131
quickhull,1000000,11319
quickhull,1000000,11341
quickhull,1000000,11222
quickhull,1000000,10979
quickhull,1000000,11235
quickhull,1000000,10926
quickhull,1000000,11147
quickhull,1000000,11126
quickhull,1000000,11291
quickhull,1000000,11447
quickhull,1000000,11244
quickhull,1000000,11114
quickhull,1000000,11168
quickhull,1000000,11054
quickhull,1000000,11177
quickhull,1000000,10997
quickhull,1000000,10968
quickhull,1000000,11114
quickhull,1000000,11076
quickhull,1000000,11081
quickhull,1000000,11133
quickhull,1000000,10905
quickhull,1000000,11107
quickhull,1000000,11189
quickhull,1000000,11134
quickhull,1000000,11125
quickhull,1000000,11112
quickhull,1000000,11065
quickhull,1000000,11131
quickhull,1000000,11369
quickhull,1000000,11209
quickhull,1000000,11064
quickhull,1000000,11372
quickhull,1000000,11225
quickhull,1000000,11008
quickhull,1000000,11223
quickhull,1000000,11081
quickhull,1000000,11221
quickhull,1000000,11652
quickhull,1000000,11221
quickhull,1000000,11576
quickhull,1000000,12108
quickhull,1000000,11095
quickhull,1000000,11274
quickhull,1000000,11140
quickhull,1000000,11308
quickhull,1000000,11754
quickhull,1000000,11307
quickhull,1000000,10957
quickhull,1000000,11080
quickhull,1000000,11398
quickhull,1000000,10938
quickhull,1000000,11132
quickhull,1000000,11299
quickhull,1000000,11339
quickhull,1000000,11139
quickhull,1000000,11224
quickhull,1000000,11320
quickhull,1000000,11031
quickhull,1000000,10928
quickhull,1000000,11016
quickhull,1000000,10871
quickhull,1000000,10919
quickhull,1000000,11181
quickhull,1000000,11092
quickhull,1000000,11263
quickhull,1000000,10935
quickhull,1000000,11230
