algo,n,ms
quickhull,500000,5826
quickhull,500000,5756
quickhull,500000,5640
quickhull,500000,5728
quickhull,500000,5709
quickhull,500000,5820
quickhull,500000,5647
quickhull,500000,5584
quickhull,500000,5587
quickhull,500000,5670
quickhull,500000,5732
quickhull,500000,5761
quickhull,500000,5866
quickhull,500000,5803
quickhull,500000,5747
quickhull,500000,5739
quickhull,500000,5573
quickhull,500000,5746
quickhull,500000,5837
quickhull,500000,5559
quickhull,500000,5763
quickhull,500000,5766
quickhull,500000,5660
quickhull,500000,5748
quickhull,500000,5679
quickhull,500000,5502
quickhull,500000,5740
quickhull,500000,5524
quickhull,500000,5540
quickhull,500000,5655
quickhull,500000,5832
quickhull,500000,5625
quickhull,500000,5690
quickhull,500000,5648
quickhull,500000,5803
quickhull,500000,5694
quickhull,500000,5713
quickhull,500000,5681
quickhull,500000,5951
quickhull,500000,5705
quickhull,500000,5643
quickhull,500000,5628
quickhull,500000,5601
quickhull,500000,5657
quickhull,500000,5521
quickhull,500000,5949
quickhull,500000,5667
quickhull,500000,5699
quickhull,500000,5454
quickhull,500000,5612
quickhull,500000,5652
quickhull,500000,5663
quickhull,500000,5409
quickhull,500000,5588
quickhull,500000,5718
quickhull,500000,5704
quickhull,500000,5682
quickhull,500000,5806
quickhull,500000,5480
quickhull,500000,5664
quickhull,500000,7312
quickhull,500000,5651
quickhull,500000,5591
quickhull,500000,5520
quickhull,500000,5911
quickhull,500000,5638
quickhull,500000,5546
quickhull,500000,5603
quickhull,500000,5699
quickhull,500000,5735
quickhull,500000,5631
quickhull,500000,5678
quickhull,500000,5616
quickhull,500000,5713
quickhull,500000,5502
quickhull,500000,5684
quickhull,500000,5621
quickhull,500000,5431
quickhull,500000,5607
quickhull,500000,5784
quickhull,500000,5758
quickhull,500000,5586
quickhull,500000,5695
quickhull,500000,5549
quickhull,500000,5801
quickhull,500000,5540
quickhull,500000,5797
quickhull,500000,5663
quickhull,500000,5511
quickhull,500000,6090
quickhull,500000,5568
quickhull,500000,5601
quickhull,500000,5776
quickhull,500000,5502
quickhull,500000,5682
quickhull,500000,5566
quickhull,500000,5568
quickhull,500000,5721
quickhull,500000,5744
quickhull,500000,5675
