algo,n,ms
quickhull,10000,142
quickhull,10000,142
quickhull,10000,180
quickhull,10000,116
quickhull,10000,116
quickhull,10000,147
quickhull,10000,114
quickhull,10000,113
quickhull,10000,115
quickhull,10000,155
quickhull,10000,115
quickhull,10000,115
quickhull,10000,115
quickhull,10000,142
quickhull,10000,115
quickhull,10000,141
quickhull,10000,114
quickhull,10000,142
quickhull,10000,144
quickhull,10000,142
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,116
quickhull,10000,116
quickhull,10000,117
quickhull,10000,146
quickhull,10000,115
quickhull,10000,113
quickhull,10000,114
quickhull,10000,114
quickhull,10000,114
quickhull,10000,142
quickhull,10000,116
quickhull,10000,115
quickhull,10000,115
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,115
quickhull,10000,142
quickhull,10000,144
quickhull,10000,141
quickhull,10000,115
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,114
quickhull,10000,115
quickhull,10000,142
quickhull,10000,114
quickhull,10000,156
quickhull,10000,128
quickhull,10000,144
quickhull,10000,115
quickhull,10000,155
quickhull,10000,115
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,143
quickhull,10000,116
quickhull,10000,114
quickhull,10000,144
quickhull,10000,143
quickhull,10000,115
quickhull,10000,143
quickhull,10000,114
quickhull,10000,141
quickhull,10000,116
quickhull,10000,143
quickhull,10000,115
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,142
quickhull,10000,142
quickhull,10000,114
quickhull,10000,142
quickhull,10000,142
quickhull,10000,142
quickhull,10000,144
quickhull,10000,142
quickhull,10000,145
quickhull,10000,113
quickhull,10000,143
quickhull,10000,113
quickhull,10000,142
quickhull,10000,114
quickhull,10000,143
