algo,n,ms
quickhull,1000,129
quickhull,1000,120
quickhull,1000,118
quickhull,1000,143
quickhull,1000,118
quickhull,1000,116
quickhull,1000,144
quickhull,1000,117
quickhull,1000,145
quickhull,1000,112
quickhull,1000,137
quickhull,1000,131
quickhull,1000,132
quickhull,1000,117
quickhull,1000,121
quickhull,1000,116
quickhull,1000,143
quickhull,1000,114
quickhull,1000,146
quickhull,1000,138
quickhull,1000,118
quickhull,1000,114
quickhull,1000,113
quickhull,1000,116
quickhull,1000,115
quickhull,1000,142
quickhull,1000,118
quickhull,1000,116
quickhull,1000,114
quickhull,1000,112
quickhull,1000,115
quickhull,1000,116
quickhull,1000,116
quickhull,1000,139
quickhull,1000,111
quickhull,1000,134
quickhull,1000,170
quickhull,1000,136
quickhull,1000,144
quickhull,1000,116
quickhull,1000,141
quickhull,1000,115
quickhull,1000,117
quickhull,1000,143
quickhull,1000,139
quickhull,1000,133
quickhull,1000,116
quickhull,1000,116
quickhull,1000,126
quickhull,1000,115
quickhull,1000,114
quickhull,1000,135
quickhull,1000,135
quickhull,1000,115
quickhull,1000,115
quickhull,1000,114
quickhull,1000,115
quickhull,1000,139
quickhull,1000,137
quickhull,1000,134
quickhull,1000,116
quickhull,1000,116
quickhull,1000,116
quickhull,1000,116
quickhull,1000,139
quickhull,1000,109
quickhull,1000,134
quickhull,1000,115
quickhull,1000,115
quickhull,1000,126
quickhull,1000,118
quickhull,1000,167
quickhull,1000,139
quickhull,1000,136
quickhull,1000,116
quickhull,1000,116
quickhull,1000,154
quickhull,1000,117
quickhull,1000,114
quickhull,1000,138
quickhull,1000,148
quickhull,1000,140
quickhull,1000,139
quickhull,1000,145
quickhull,1000,154
quickhull,1000,115
quickhull,1000,147
quickhull,1000,114
quickhull,1000,136
quickhull,1000,134
quickhull,1000,135
quickhull,1000,109
quickhull,1000,134
quickhull,1000,117
quickhull,1000,134
quickhull,1000,117
quickhull,1000,136
quickhull,1000,135
quickhull,1000,116
quickhull,1000,132
