algo,n,ms
quickhull,1000000,86860
quickhull,1000000,86842
quickhull,1000000,87312
quickhull,1000000,87528
quickhull,1000000,87331
quickhull,1000000,94197
quickhull,1000000,93041
quickhull,1000000,95082
quickhull,1000000,96321
quickhull,1000000,92805
quickhull,1000000,95484
quickhull,1000000,92835
quickhull,1000000,91981
quickhull,1000000,90870
quickhull,1000000,91251
quickhull,1000000,90618
quickhull,1000000,90716
quickhull,1000000,90948
quickhull,1000000,90874
quickhull,1000000,90137
quickhull,1000000,88222
quickhull,1000000,88191
quickhull,1000000,88558
quickhull,1000000,87899
quickhull,1000000,88522
quickhull,1000000,89729
quickhull,1000000,104147
quickhull,1000000,100313
quickhull,1000000,99981
quickhull,1000000,102338
quickhull,1000000,98824
quickhull,1000000,99041
quickhull,1000000,98932
quickhull,1000000,93252
quickhull,1000000,91747
quickhull,1000000,91330
quickhull,1000000,90683
quickhull,1000000,90836
quickhull,1000000,90812
quickhull,1000000,90941
quickhull,1000000,83459
quickhull,1000000,82918
quickhull,1000000,82857
quickhull,1000000,83170
quickhull,1000000,82991
quickhull,1000000,82701
quickhull,1000000,83159
quickhull,1000000,74543
quickhull,1000000,74427
quickhull,1000000,74576
quickhull,1000000,74665
quickhull,1000000,74456
quickhull,1000000,74473
quickhull,1000000,74897
quickhull,1000000,74428
quickhull,1000000,85208
quickhull,1000000,85524
quickhull,1000000,85860
quickhull,1000000,86804
quickhull,1000000,84959
quickhull,1000000,85073
quickhull,1000000,87243
quickhull,1000000,87853
quickhull,1000000,87732
quickhull,1000000,87476
quickhull,1000000,87325
quickhull,1000000,86082
quickhull,1000000,86504
quickhull,1000000,86345
quickhull,1000000,86719
quickhull,1000000,102392
quickhull,1000000,99171
quickhull,1000000,99970
quickhull,1000000,99194
quickhull,1000000,101651
quickhull,1000000,99495
quickhull,1000000,89454
quickhull,1000000,89257
quickhull,1000000,88839
quickhull,1000000,89671
quickhull,1000000,88642
quickhull,1000000,89011
quickhull,1000000,89161
quickhull,1000000,88875
quickhull,1000000,92423
quickhull,1000000,92134
quickhull,1000000,92819
quickhull,1000000,92228
quickhull,1000000,92351
quickhull,1000000,91716
quickhull,1000000,92168
quickhull,1000000,99922
quickhull,1000000,99590
quickhull,1000000,101498
quickhull,1000000,99138
quickhull,1000000,99683
quickhull,1000000,99563
quickhull,1000000,99089
quickhull,1000000,97925
quickhull,1000000,100432
