algo,n,ms
quickhull,100000,9602
quickhull,100000,9560
quickhull,100000,9824
quickhull,100000,9802
quickhull,100000,9770
quickhull,100000,9781
quickhull,100000,9845
quickhull,100000,9796
quickhull,100000,9979
quickhull,100000,9802
quickhull,100000,9810
quickhull,100000,9816
quickhull,100000,9833
quickhull,100000,9983
quickhull,100000,9784
quickhull,100000,9819
quickhull,100000,9886
quickhull,100000,9897
quickhull,100000,10772
quickhull,100000,9765
quickhull,100000,10706
quickhull,100000,10806
quickhull,100000,9902
quickhull,100000,10696
quickhull,100000,10149
quickhull,100000,9840
quickhull,100000,10759
quickhull,100000,10865
quickhull,100000,9905
quickhull,100000,10177
quickhull,100000,10201
quickhull,100000,10206
quickhull,100000,10278
quickhull,100000,10478
quickhull,100000,10149
quickhull,100000,10190
quickhull,100000,10315
quickhull,100000,10240
quickhull,100000,10186
quickhull,100000,10229
quickhull,100000,10322
quickhull,100000,10311
quickhull,100000,10239
quickhull,100000,10598
quickhull,100000,10262
quickhull,100000,10442
quickhull,100000,10315
quickhull,100000,10371
quickhull,100000,10307
quickhull,100000,10638
quickhull,100000,10351
quickhull,100000,10476
quickhull,100000,10622
quickhull,100000,10432
quickhull,100000,10390
quickhull,100000,10406
quickhull,100000,10417
quickhull,100000,10362
quickhull,100000,10414
quickhull,100000,10372
quickhull,100000,10390
quickhull,100000,10397
quickhull,100000,10534
quickhull,100000,10369
quickhull,100000,10602
quickhull,100000,10395
quickhull,100000,10372
quickhull,100000,10511
quickhull,100000,10382
quickhull,100000,10430
quickhull,100000,10501
quickhull,100000,10436
quickhull,100000,10530
quickhull,100000,10372
quickhull,100000,10388
quickhull,100000,10392
quickhull,100000,10410
quickhull,100000,10353
quickhull,100000,10384
quickhull,100000,10336
quickhull,100000,10430
quickhull,100000,10316
quickhull,100000,10401
quickhull,100000,10378
quickhull,100000,10049
quickhull,100000,10202
quickhull,100000,10184
quickhull,100000,10215
quickhull,100000,10105
quickhull,100000,10343
quickhull,100000,9798
quickhull,100000,9844
quickhull,100000,9696
quickhull,100000,9630
quickhull,100000,9663
quickhull,100000,9647
quickhull,100000,9565
quickhull,100000,9716
quickhull,100000,9673
quickhull,100000,9610
