algo,n,ms
giftwrapping,10000,2465
giftwrapping,10000,1850
giftwrapping,10000,2625
giftwrapping,10000,3090
giftwrapping,10000,2200
giftwrapping,10000,2118
giftwrapping,10000,2341
giftwrapping,10000,2195
giftwrapping,10000,3051
giftwrapping,10000,3132
giftwrapping,10000,2017
giftwrapping,10000,2709
giftwrapping,10000,1861
giftwrapping,10000,2173
giftwrapping,10000,1854
giftwrapping,10000,1954
giftwrapping,10000,2032
giftwrapping,10000,2173
giftwrapping,10000,5365
giftwrapping,10000,2165
giftwrapping,10000,1883
giftwrapping,10000,3193
giftwrapping,10000,4415
giftwrapping,10000,1870
giftwrapping,10000,2037
giftwrapping,10000,2242
giftwrapping,10000,2010
giftwrapping,10000,3249
giftwrapping,10000,1882
giftwrapping,10000,3174
giftwrapping,10000,5796
giftwrapping,10000,1865
giftwrapping,10000,3385
giftwrapping,10000,5701
giftwrapping,10000,1885
giftwrapping,10000,1888
giftwrapping,10000,2020
giftwrapping,10000,2031
giftwrapping,10000,2019
giftwrapping,10000,4734
giftwrapping,10000,2954
giftwrapping,10000,2522
giftwrapping,10000,1871
giftwrapping,10000,3250
giftwrapping,10000,2190
giftwrapping,10000,1935
giftwrapping,10000,3250
giftwrapping,10000,1882
giftwrapping,10000,2065
giftwrapping,10000,3311
giftwrapping,10000,5904
giftwrapping,10000,2651
giftwrapping,10000,2208
giftwrapping,10000,4484
giftwrapping,10000,2188
giftwrapping,10000,3146
giftwrapping,10000,2030
giftwrapping,10000,4653
giftwrapping,10000,2067
giftwrapping,10000,2949
giftwrapping,10000,1878
giftwrapping,10000,2967
giftwrapping,10000,4821
giftwrapping,10000,3259
giftwrapping,10000,2541
giftwrapping,10000,1871
giftwrapping,10000,1884
giftwrapping,10000,3515
giftwrapping,10000,4389
giftwrapping,10000,1864
giftwrapping,10000,1873
giftwrapping,10000,3275
giftwrapping,10000,3518
giftwrapping,10000,1872
giftwrapping,10000,4532
giftwrapping,10000,1859
giftwrapping,10000,2186
giftwrapping,10000,3087
giftwrapping,10000,1867
giftwrapping,10000,5656
giftwrapping,10000,2008
giftwrapping,10000,4617
giftwrapping,10000,2475
giftwrapping,10000,2015
giftwrapping,10000,2180
giftwrapping,10000,5172
giftwrapping,10000,3657
giftwrapping,10000,4455
giftwrapping,10000,5784
giftwrapping,10000,6049
giftwrapping,10000,1897
giftwrapping,10000,2210
giftwrapping,10000,2207
giftwrapping,10000,5461
giftwrapping,10000,1874
giftwrapping,10000,1865
giftwrapping,10000,1909
giftwrapping,10000,2030
giftwrapping,10000,4471
giftwrapping,10000,3200
