algo,n,ms
quickhull,10000000,900757
quickhull,10000000,948805
quickhull,10000000,919645
quickhull,10000000,868624
quickhull,10000000,901763
quickhull,10000000,771131
quickhull,10000000,999231
quickhull,10000000,846759
quickhull,10000000,773551
quickhull,10000000,838880
quickhull,10000000,839803
quickhull,10000000,827457
quickhull,10000000,940584
quickhull,10000000,937860
quickhull,10000000,927804
quickhull,10000000,833249
quickhull,10000000,815899
quickhull,10000000,737847
quickhull,10000000,808376
quickhull,10000000,904449
quickhull,10000000,909826
quickhull,10000000,933662
quickhull,10000000,850516
quickhull,10000000,941714
quickhull,10000000,1022019
quickhull,10000000,807757
quickhull,10000000,890921
quickhull,10000000,954204
quickhull,10000000,882654
quickhull,10000000,945788
quickhull,10000000,825995
quickhull,10000000,894361
quickhull,10000000,933597
quickhull,10000000,912907
quickhull,10000000,921656
quickhull,10000000,841407
quickhull,10000000,741014
quickhull,10000000,982667
quickhull,10000000,829121
quickhull,10000000,1031280
quickhull,10000000,932662
quickhull,10000000,1044714
quickhull,10000000,978666
quickhull,10000000,948676
quickhull,10000000,932434
quickhull,10000000,953849
quickhull,10000000,946341
quickhull,10000000,818526
quickhull,10000000,907457
quickhull,10000000,922964
quickhull,10000000,1024717
quickhull,10000000,849747
quickhull,10000000,809711
quickhull,10000000,813888
quickhull,10000000,720090
quickhull,10000000,780781
quickhull,10000000,864210
quickhull,10000000,909867
quickhull,10000000,978995
quickhull,10000000,935644
quickhull,10000000,818823
quickhull,10000000,847388
quickhull,10000000,807338
quickhull,10000000,749203
quickhull,10000000,921638
quickhull,10000000,890052
quickhull,10000000,922384
quickhull,10000000,805446
quickhull,10000000,900352
quickhull,10000000,928653
quickhull,10000000,1021039
quickhull,10000000,992761
quickhull,10000000,909071
quickhull,10000000,900600
quickhull,10000000,898545
quickhull,10000000,923322
quickhull,10000000,950955
quickhull,10000000,857527
quickhull,10000000,911166
quickhull,10000000,881241
quickhull,10000000,846248
quickhull,10000000,935718
quickhull,10000000,749464
quickhull,10000000,795915
quickhull,10000000,962112
quickhull,10000000,768824
quickhull,10000000,866365
quickhull,10000000,813070
quickhull,10000000,868913
quickhull,10000000,895603
quickhull,10000000,755574
quickhull,10000000,937624
quickhull,10000000,954517
quickhull,10000000,728313
quickhull,10000000,943813
quickhull,10000000,786062
quickhull,10000000,921073
quickhull,10000000,792634
quickhull,10000000,992606
quickhull,10000000,780903
